,Title,Average Score,Standard Deviation,Individual Scores,Author-defined Area
2968,Escaping Saddle Point Efficiently in Minimax and Bilevel Optimizations,5.333333333333333,0.4714045207910317,6;5;5,optimization
2969,AST-T5: Structure-Aware Pretraining for Code Generation and Understanding,5.333333333333333,0.4714045207910317,5;6;5,"representation learning for computer vision, audio, language, and other modalities"
2970,DiffCPS: Diffusion Model based Constrained Policy Search for Offline Reinforcement Learning,5.333333333333333,2.0548046676563256,3;8;5,reinforcement learning
2971,HyperAttention: Long-context Attention in Near-Linear Time,5.333333333333333,0.4714045207910317,5;5;6,"general machine learning (i.e., none of the above)"
2972,Adversarial Latent Feature Augmentation for Fairness,5.285714285714286,1.0301575072754257,6;3;6;5;5;6;6,"societal considerations including fairness, safety, privacy"
2973,Interpreting Adaptive Gradient Methods by Parameter Scaling for Learning-Rate-Free Optimization,5.25,1.7853571071357126,5;8;3;5,optimization
2974,Make a Donut: Language-Guided Hierarchical EMD-Space Planning for Zero-shot Deformable Object Manipulation,5.25,0.4330127018922193,5;6;5;5,"applications to robotics, autonomy, planning"
2975,LatentWarp: Consistent Diffusion Latents for Zero-Shot Video-to-Video Translation,5.25,0.4330127018922193,5;6;5;5,generative models
2976,Plausibly Deniable Encryption with Large Language Models,5.25,1.7853571071357126,8;5;3;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
2977,Reshape and Adapt for Output Quantization (RAOQ): Quantization-aware Training for In-memory Computing Systems,5.25,0.4330127018922193,6;5;5;5,"infrastructure, software libraries, hardware, etc."
2978,How to fix a broken confidence estimator: Evaluating post-hoc methods for selective classification with deep neural networks,5.25,0.4330127018922193,6;5;5;5,"general machine learning (i.e., none of the above)"
2979,G4SATBench: Benchmarking and Advancing SAT Solving with Graph Neural Networks,5.25,0.4330127018922193,5;5;6;5,datasets and benchmarks
2980,A Variational Perspective on Solving Inverse Problems with Diffusion Models,5.25,0.4330127018922193,5;5;6;5,generative models
2981,Understanding Multimodal Instruction Format for In-context Learning,5.25,0.4330127018922193,5;5;6;5,"transfer learning, meta learning, and lifelong learning"
2982,Improved Variational Bayesian Phylogenetic Inference using Mixtures,5.25,1.299038105676658,6;6;6;3,"applications to physical sciences (physics, chemistry, biology, etc.)"
2983,Temporal Causal Mechanism Transfer for Few-shot Action Recognition,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
2984,JudgeLM : Fine-tuned Large Language Models are Scalable Judges,5.25,0.4330127018922193,5;6;5;5,generative models
2985,Toward a Mechanistic Understanding of Stepwise Inference in Transformers: A Synthetic Graph Navigation Model,5.25,1.299038105676658,6;6;3;6,visualization or interpretation of learned representations
2986,Hierarchical Side-Tuning for Vision Transformers,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
2987,DeCUR: decoupling common & unique representations for multimodal self-supervision,5.25,1.7853571071357126,5;3;5;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
2988,FreeNoise: Tuning-Free Longer Video Diffusion via Noise Rescheduling,5.25,1.299038105676658,6;3;6;6,generative models
2989,FourierAugment: Frequency-Based Image Encoding for Resource-Constrained Vision Tasks,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
2990,Combinatorial Bandits for Maximum Value Reward Function under Value-Index Feedback,5.25,1.299038105676658,6;6;3;6,learning theory
2991,Gradient-free Proxy for Efficient Language Model Search,5.25,1.7853571071357126,5;8;5;3,"representation learning for computer vision, audio, language, and other modalities"
2992,Deep Unlearning: Fast and Efficient Training-free Approach to Controlled Forgetting,5.25,1.7853571071357126,5;5;3;8,"general machine learning (i.e., none of the above)"
2993,Segment Anything Model is a Good Teacher for Local Feature Learning,5.25,0.4330127018922193,5;5;6;5,"representation learning for computer vision, audio, language, and other modalities"
2994,Prospector: Improving LLM Agents with Self-Asking and Trajectory Ranking,5.25,0.4330127018922193,5;5;5;6,"general machine learning (i.e., none of the above)"
2995,LoTa-Bench: Benchmarking Language-oriented Task Planners for Embodied Agents,5.25,1.299038105676658,6;6;6;3,datasets and benchmarks
2996,The Geometry of Truth: Emergent Linear Structure in Large Language Model Representations of True/False Datasets,5.25,1.7853571071357126,5;3;8;5,visualization or interpretation of learned representations
2997,Dissecting Arbitrary-scale Super-resolution Capability from Pre-trained Diffusion Generative Models,5.25,0.4330127018922193,6;5;5;5,generative models
2998,VideoFactory: Swap Attention in Spatiotemporal Diffusions for Text-to-Video Generation,5.25,0.4330127018922193,5;5;6;5,generative models
2999,Proximal Curriculum with Task Correlations for Deep Reinforcement Learning,5.25,1.7853571071357126,5;5;8;3,reinforcement learning
3000,Understanding the Robustness of Randomized Feature Defense Against Query-Based Adversarial Attacks,5.25,1.7853571071357126,3;5;5;8,"societal considerations including fairness, safety, privacy"
3001,Evaluating the Instruction-Following Robustness of Large Language Models to Prompt Injection,5.25,0.4330127018922193,5;5;6;5,datasets and benchmarks
3002,LRQ: Optimizing Post-Training Quantization for Large Language Models by Learning Low-Rank Weight-Scaling Matrices,5.25,1.299038105676658,3;6;6;6,"general machine learning (i.e., none of the above)"
3003,Stealthy Imitation: Reward-guided Environment-free Policy Stealing,5.25,0.4330127018922193,6;5;5;5,"societal considerations including fairness, safety, privacy"
3004,Not Just Pretty Pictures: Toward Interventional Data Augmentation Using Text-to-Image Generators,5.25,0.4330127018922193,5;6;5;5,generative models
3005,Rethinking Decision Transformer via Hierarchical Reinforcement Learning,5.25,0.4330127018922193,5;5;6;5,reinforcement learning
3006,Iterated Deep $Q$-Network: Efficient Learning of Bellman Iterations for Deep Reinforcement Learning,5.25,1.7853571071357126,8;3;5;5,reinforcement learning
3007,Contextual Vision Transformers for Robust Representation Learning,5.25,0.4330127018922193,6;5;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3008,Re-imagine the Negative Prompt Algorithm for 2D/3D Diffusion,5.25,0.4330127018922193,6;5;5;5,generative models
3009,Latent Consistency Models: Synthesizing High-Resolution Images with Few-step Inference,5.25,0.4330127018922193,5;6;5;5,generative models
3010,Collaboration! Towards Robust Neural Methods for Vehicle Routing Problems,5.25,0.4330127018922193,5;5;5;6,"general machine learning (i.e., none of the above)"
3011,How Robust Are Energy-Based Models Trained With Equilibrium Propagation?,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
3012,Fine-grained Text-to-Image Synthesis with Semantic Refinement,5.25,1.7853571071357126,5;3;5;8,generative models
3013,Multi-Prompt Denoised Self-Training for Open-Vocabulary Model Adaptation,5.25,0.4330127018922193,5;5;6;5,"transfer learning, meta learning, and lifelong learning"
3014,Does resistance to style-transfer equal Shape Bias? Evaluating shape bias by distorted shape,5.25,1.299038105676658,6;6;3;6,"representation learning for computer vision, audio, language, and other modalities"
3015,Enhancing Neural Network Performance with Leader-Follower Architecture and Local Error Signals,5.25,0.4330127018922193,6;5;5;5,"general machine learning (i.e., none of the above)"
3016,InfoNet: An Efficient Feed-Forward Neural Estimator for Mutual Information,5.25,1.299038105676658,6;3;6;6,"metric learning, kernel learning, and sparse coding"
3017,Masked Autoencoders with Multi-Window Local-Global Attention Are Better Audio Learners,5.25,1.299038105676658,6;6;6;3,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3018,Taming Encoder for Zero Fine-tuning Image Customization with Text-to-Image Diffusion Models,5.25,0.4330127018922193,5;5;6;5,generative models
3019,Data geometry and topology dependent bounds on network widths in deep ReLU networks,5.25,1.7853571071357126,3;5;8;5,learning theory
3020,"FARSE-CNN: Fully Asynchronous, Recurrent and Sparse Event-Based CNN",5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
3021,Generative Pre-Trained Speech Language Model with Efficient Hierarchical Transformer,5.25,0.4330127018922193,5;6;5;5,generative models
3022,Unsupervised open-vocabulary action recognition with an autoregressive model,5.25,1.7853571071357126,8;5;5;3,generative models
3023,Explaining Time Series via Contrastive and Locally Sparse Perturbations,5.25,1.299038105676658,6;3;6;6,visualization or interpretation of learned representations
3024,High-Dimensional Safe Exploration via Optimistic Local Latent Safe Optimization,5.25,1.7853571071357126,8;3;5;5,optimization
3025,Unifying Feature and Cost Aggregation with Transformers for Dense Correspondence,5.25,0.4330127018922193,5;5;6;5,visualization or interpretation of learned representations
3026,Angle-optimized Text Embeddings,5.25,0.4330127018922193,5;5;5;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3027,On the Tool Manipulation Capability of Open-sourced Large Language Models,5.25,0.4330127018922193,6;5;5;5,datasets and benchmarks
3028,KDGCN: A Kernel-based Double-level Graph Convolution Network for Semi-supervised Graph Classification with Scarce Labels,5.25,1.7853571071357126,3;8;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3029,You Only Look at Screens: Multimodal Chain-of-Action Agents,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
3030,LISA: Reasoning Segmentation via Large Language Model,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
3031,Realistic Human Motion Generation with Cross-Diffusion Models,5.25,0.4330127018922193,5;5;6;5,generative models
3032,Reinforcement Learning of Diverse Skills using Mixture of Deep Experts,5.25,0.4330127018922193,5;5;6;5,reinforcement learning
3033,Dreamix: Video Diffusion Models are General Video Editors,5.25,1.7853571071357126,8;5;3;5,generative models
3034,Efficient Diversified Attack: Multiple Diversification Strategies Lead to the Efficient Adversarial Attacks,5.25,0.4330127018922193,6;5;5;5,optimization
3035,RelationMatch: Matching In-batch Relationships for Semi-supervised Learning,5.25,1.7853571071357126,8;3;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3036,Large-Scale Public Data Improves Differentially Private Image Generation Quality,5.25,0.4330127018922193,6;5;5;5,"societal considerations including fairness, safety, privacy"
3037,AlignCLIP: Enhancing Stable Representations in Vision-Language Pretraining Models through Attention and Prediction Alignment,5.25,0.4330127018922193,5;5;6;5,"transfer learning, meta learning, and lifelong learning"
3038,Fine-tuning can cripple foundation models; preserving features may be the solution,5.25,1.7853571071357126,3;8;5;5,"transfer learning, meta learning, and lifelong learning"
3039,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,5.25,1.7853571071357126,5;5;3;8,"general machine learning (i.e., none of the above)"
3040,Stochastic two points method for deep model gradient free optimization,5.25,0.4330127018922193,5;5;6;5,optimization
3041,When Does Bias Transfer in Transfer Learning?,5.25,1.7853571071357126,5;3;5;8,"societal considerations including fairness, safety, privacy"
3042,Neural Diffusion Models,5.25,0.4330127018922193,5;5;6;5,generative models
3043,Unraveling the Key Components of OOD Generalization via Diversification,5.25,0.4330127018922193,5;5;6;5,"general machine learning (i.e., none of the above)"
3044,Performance Bounds for Active Binary Testing with Information Maximization,5.25,0.4330127018922193,5;6;5;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
3045,On Formal Feature Attribution and Its Approximation,5.25,0.4330127018922193,5;5;6;5,"general machine learning (i.e., none of the above)"
3046,Out-of-Distribution Detection by Leveraging Between-Layer Transformation Smoothness,5.25,0.4330127018922193,5;6;5;5,"general machine learning (i.e., none of the above)"
3047,Learning Diverse Quadruped Locomotion Gaits via Reward Machines,5.25,1.7853571071357126,8;5;3;5,"applications to robotics, autonomy, planning"
3048,Multi-label Learning with Random Circular Vectors,5.25,0.4330127018922193,5;5;5;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3049,Interpreting and Controlling Vision Foundation Models via Text Explanations,5.25,1.7853571071357126,5;5;8;3,visualization or interpretation of learned representations
3050,Don't Paint Everyone with the Same Brush: Adaptive Prompt Prototype Learning for Vision-Language Models,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
3051,Variance-Reduced Meta-Learning via Laplace Approximation,5.25,0.4330127018922193,5;5;5;6,"transfer learning, meta learning, and lifelong learning"
3052,The Blessings of Multiple Treatments and Outcomes in Treatment Effect Estimation,5.25,0.4330127018922193,5;6;5;5,causal reasoning
3053,Closed-Form Diffusion Models,5.25,0.4330127018922193,6;5;5;5,generative models
3054,Improved algorithm and bounds for successive projection,5.25,1.299038105676658,3;6;6;6,learning on graphs and other geometries & topologies
3055,Are Human-generated Demonstrations Necessary for In-context Learning?,5.25,2.5860201081971503,8;6;1;6,"representation learning for computer vision, audio, language, and other modalities"
3056,Efficiency Pentathlon: A Standardized Benchmark for Efficiency Evaluation,5.25,1.7853571071357126,5;3;5;8,datasets and benchmarks
3057,Emergent Language based Dialog for Collaborative Multi-agent Navigation,5.25,0.4330127018922193,5;6;5;5,"applications to robotics, autonomy, planning"
3058,Learning to Plan and Generate Text with Citations,5.25,1.7853571071357126,5;3;8;5,"general machine learning (i.e., none of the above)"
3059,Weakly Supervised Virus Capsid Detection with Image-Level Annotations in Electron Microscopy Images,5.25,0.4330127018922193,5;5;5;6,"applications to physical sciences (physics, chemistry, biology, etc.)"
3060,Tree-Planner: Efficient Close-loop Task Planning with Large Language Models,5.25,1.7853571071357126,5;8;5;3,"applications to robotics, autonomy, planning"
3061,"BTBS-LNS: A Binarized-Tightening, Branch and Search Approach of Learning Large Neighborhood Search Policies for MIP",5.25,0.4330127018922193,6;5;5;5,optimization
3062,Stability and Generalization in Free Adversarial Training,5.25,1.299038105676658,6;3;6;6,optimization
3063,Unitention: Attend a sample to the dataset,5.25,0.4330127018922193,5;6;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3064,General-purpose Pre-trained Model Towards Cross-domain Molecule Learning,5.25,1.7853571071357126,5;8;5;3,"applications to physical sciences (physics, chemistry, biology, etc.)"
3065,System Identification of Neural Systems: Going Beyond Images to Modelling Dynamics,5.25,1.7853571071357126,8;5;3;5,applications to neuroscience & cognitive science
3066,Debiased Machine Learning and Network Cohesion for Doubly-Robust Differential Reward Models in Contextual Bandits,5.25,0.4330127018922193,5;5;5;6,reinforcement learning
3067,EWoK: Tackling Robust Markov Decision Processes via Estimating Worst Kernel,5.25,1.299038105676658,3;6;6;6,reinforcement learning
3068,Better Imitation Learning in Discounted Linear MDP,5.25,0.4330127018922193,5;6;5;5,reinforcement learning
3069,Variational Inference with Singularity-Free Planar Flows,5.25,0.4330127018922193,5;5;6;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
3070,SENSITIVITY-INFORMED REGULARIZATION FOR OFFLINE BLACK-BOX OPTIMIZATION,5.25,1.299038105676658,3;6;6;6,"general machine learning (i.e., none of the above)"
3071,Personalized Facial Expressions and Head Poses for Speech-Driven 3D Facial Animation,5.25,1.7853571071357126,8;3;5;5,"representation learning for computer vision, audio, language, and other modalities"
3072,Language Model Inversion,5.25,0.4330127018922193,5;5;5;6,"societal considerations including fairness, safety, privacy"
3073,Controlling Vision-Language Models for Universal Image Restoration,5.25,1.299038105676658,6;6;3;6,"representation learning for computer vision, audio, language, and other modalities"
3074,Understanding and Tackling Over-Dilution in Graph Neural Networks,5.25,0.4330127018922193,6;5;5;5,learning on graphs and other geometries & topologies
3075,Label Privacy Source Coding in Vertical Federated Learning,5.25,0.4330127018922193,5;6;5;5,"societal considerations including fairness, safety, privacy"
3076,Disentangled Acoustic Fields For Multimodal Physical Scene Understanding,5.25,0.4330127018922193,5;5;6;5,"representation learning for computer vision, audio, language, and other modalities"
3077,Benchmarking Large Language Models as AI Research Agents,5.25,2.8613807855648994,3;5;3;10,datasets and benchmarks
3078,A Neural-preconditioned Poisson Solver for Mixed Dirichlet and Neumann Boundary Conditions,5.25,0.4330127018922193,5;5;5;6,"applications to physical sciences (physics, chemistry, biology, etc.)"
3079,Revisiting the Role of Language Priors in Vision-Language Models,5.25,1.7853571071357126,5;8;3;5,"representation learning for computer vision, audio, language, and other modalities"
3080,Hypergraph Dynamic System,5.25,1.7853571071357126,3;5;8;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3081,Semi-Supervised Semantic Segmentation via Marginal Contextual Information,5.25,0.4330127018922193,5;5;6;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3082,MoLE: Human-centric Text-to-image Diffusion with Mixture of Low-rank Experts,5.25,0.4330127018922193,5;5;6;5,generative models
3083,Bounded Loss Robustness: Enhancing the MAE Loss for Large-Scale Noisy Data Learning,5.25,1.7853571071357126,5;3;5;8,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3084,Mark My Words: Repurposing LLMs for Specialized Domains via Ability Tokens,5.25,0.4330127018922193,5;5;5;6,"representation learning for computer vision, audio, language, and other modalities"
3085,Universal Jailbreak Backdoors from Poisoned Human Feedback,5.25,0.4330127018922193,5;5;5;6,"societal considerations including fairness, safety, privacy"
3086,DiffEnc: Variational Diffusion with a Learned Encoder,5.25,0.4330127018922193,6;5;5;5,generative models
3087,Convex and Bilevel Optimization for Neuro-Symbolic Inference and Learning,5.25,1.299038105676658,6;6;6;3,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
3088,Memoization-Aware Bayesian Optimization for AI Pipelines with Unknown Costs,5.25,0.4330127018922193,5;5;6;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
3089,Large Language Models as Generalizable Policies for Embodied Tasks,5.25,0.4330127018922193,6;5;5;5,"applications to robotics, autonomy, planning"
3090,OpenIns3D: Snap and Lookup for 3D Open-vocabulary Instance Segmentation,5.25,1.299038105676658,6;6;3;6,"representation learning for computer vision, audio, language, and other modalities"
3091,Big Learning,5.25,0.4330127018922193,5;5;5;6,generative models
3092,Enhanced Visual Instruction Tuning for Text-Rich Image Understanding,5.25,0.4330127018922193,5;5;5;6,generative models
3093,A Large-Scale 3D Face Mesh Video Dataset via Neural Re-parameterized Optimization,5.25,0.4330127018922193,5;5;6;5,datasets and benchmarks
3094,The Alignment Problem from a Deep Learning Perspective: A Position Paper,5.25,1.7853571071357126,5;3;8;5,"general machine learning (i.e., none of the above)"
3095,Density Ratio Estimation-based Bayesian Optimization with Semi-Supervised Learning,5.25,1.299038105676658,6;3;6;6,optimization
3096,Borda Regret Minimization for Generalized Linear Dueling Bandits,5.25,0.4330127018922193,6;5;5;5,"general machine learning (i.e., none of the above)"
3097,Bootstrapping Audio-Visual Segmentation by Strengthening Audio Cues,5.25,1.299038105676658,3;6;6;6,"representation learning for computer vision, audio, language, and other modalities"
3098,Constructing Semantics-Aware Adversarial Examples with Probabilistic Perspective,5.25,0.4330127018922193,6;5;5;5,generative models
3099,Learning from Integral Losses in Physics Informed Neural Networks,5.25,0.4330127018922193,5;5;5;6,"neurosymbolic & hybrid AI systems (physics-informed, logic & formal reasoning, etc.)"
3100,SHINE: Shielding Backdoors in Deep Reinforcement Learning,5.25,0.4330127018922193,5;5;5;6,"societal considerations including fairness, safety, privacy"
3101,A Simple Data Augmentation for Feature Distribution Skewed Federated Learning,5.25,0.4330127018922193,5;5;6;5,"general machine learning (i.e., none of the above)"
3102,Curvature Explains Loss of Plasticity,5.25,0.4330127018922193,5;5;5;6,"transfer learning, meta learning, and lifelong learning"
3103,Compressed Context Memory for Online Language Model Interaction,5.25,1.299038105676658,6;3;6;6,"general machine learning (i.e., none of the above)"
3104,One-shot Active Learning Based on Lewis Weight Sampling for Multiple Deep Models,5.25,0.4330127018922193,5;5;6;5,"general machine learning (i.e., none of the above)"
3105,Generalizing to New Dynamical Systems via Frequency Domain Adaptation,5.25,0.4330127018922193,5;5;5;6,"transfer learning, meta learning, and lifelong learning"
3106,Learning Temporal Causal Representation under Non-Invertible Generation Process,5.25,1.7853571071357126,8;3;5;5,causal reasoning
3107,Double-I Watermark: Protecting Model Copyright for LLM Fine-tuning,5.25,0.4330127018922193,6;5;5;5,"general machine learning (i.e., none of the above)"
3108,Dynamic Neural Response Tuning,5.25,1.7853571071357126,5;3;8;5,"representation learning for computer vision, audio, language, and other modalities"
3109,Towards Green AI in Fine-tuning Large Language Models via Adaptive Backpropagation,5.25,0.4330127018922193,5;5;6;5,generative models
3110,Skills-in-Context Prompting:  Unlocking Compositionality in Large Language Models,5.25,1.7853571071357126,5;5;3;8,"general machine learning (i.e., none of the above)"
3111,Improving protein optimization with smoothed fitness landscapes,5.25,1.299038105676658,6;6;6;3,"applications to physical sciences (physics, chemistry, biology, etc.)"
3112,LM-Switch: Transforming Word Embedding Space for Flexible Language Model Steering,5.25,1.7853571071357126,5;3;8;5,"representation learning for computer vision, audio, language, and other modalities"
3113,Scaling Supervised Local Learning with Augmented Auxiliary Networks,5.25,1.299038105676658,6;6;3;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3114,TaCA: Hot-Plugging Upgrades for Foundation Model with Task-agnostic Compatible Adapter,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
3115,Structured Inverse-Free Natural Gradient: Memory-Efficient & Numerically-Stable KFAC for Large Neural Nets,5.25,0.4330127018922193,5;5;6;5,optimization
3116,NeRFuser: Diffusion Guided Multi-Task 3D Policy Learning,5.25,1.7853571071357126,8;3;5;5,"applications to robotics, autonomy, planning"
3117,Can adversarial samples benefit few-shot unsupervised implicit neural shape representation learning ?,5.25,0.4330127018922193,5;5;5;6,"representation learning for computer vision, audio, language, and other modalities"
3118,Surface Representation in LiDAR Scenes,5.25,0.4330127018922193,6;5;5;5,"applications to robotics, autonomy, planning"
3119,Efficient Episodic Memory Utilization of Cooperative Multi-Agent Reinforcement Learning,5.25,1.299038105676658,6;6;3;6,reinforcement learning
3120,Active Teacher Selection for Reinforcement Learning from Human Feedback,5.25,0.4330127018922193,5;5;5;6,"societal considerations including fairness, safety, privacy"
3121,Explanation Shift: How Did the Distribution Shift Impact the Model?,5.25,1.7853571071357126,8;3;5;5,"societal considerations including fairness, safety, privacy"
3122,Contrastive Graph Autoencoder for Geometric Polygon Retrieval from Building Datasets,5.25,1.7853571071357126,3;8;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3123,Adversarial Robust Representation Learning via Contrast and Alignment,5.25,1.7853571071357126,5;8;5;3,"societal considerations including fairness, safety, privacy"
3124,Overcoming Distribution Mismatch in Quantizing Image Super-Resolution Networks,5.25,1.299038105676658,6;3;6;6,"representation learning for computer vision, audio, language, and other modalities"
3125,Safety-Tuned LLaMAs: Lessons From Improving the Safety of Large Language Models that Follow Instructions,5.25,1.299038105676658,6;6;3;6,"societal considerations including fairness, safety, privacy"
3126,Learning Embeddings for Sequential Tasks Using Population of Agents,5.25,0.4330127018922193,5;5;5;6,reinforcement learning
3127,Domain-Inspired Sharpness Aware Minimization Under Domain Shifts,5.25,0.4330127018922193,5;5;6;5,"transfer learning, meta learning, and lifelong learning"
3128,PATHS: Parameter-wise Adaptive Two-Stage Training Harnessing Scene Transition Mask Adapters for Video Retrieval,5.25,1.7853571071357126,8;3;5;5,"representation learning for computer vision, audio, language, and other modalities"
3129,Meta- (out-of-context) learning in neural networks,5.25,0.4330127018922193,5;5;5;6,"transfer learning, meta learning, and lifelong learning"
3130,Why not both? Combining Bellman losses in deep reinforcement learning,5.25,0.4330127018922193,5;5;6;5,reinforcement learning
3131,Learning with Temporal Label Noise,5.25,1.7853571071357126,8;5;3;5,"societal considerations including fairness, safety, privacy"
3132,Towards Characterizing Domain Counterfactuals for Invertible Latent Causal Models,5.25,0.4330127018922193,6;5;5;5,causal reasoning
3133,MMBench: Is Your Multi-modal Model an All-around Player?,5.25,1.299038105676658,6;3;6;6,datasets and benchmarks
3134,Differentially Private Vision-Language Foundation Models via Image Captioning,5.25,1.299038105676658,6;6;6;3,"societal considerations including fairness, safety, privacy"
3135,Replay across Experiments: A Natural Extension of Off-Policy RL,5.25,0.4330127018922193,6;5;5;5,reinforcement learning
3136,Stochastic Subgoal Representation for Hierarchical Reinforcement Learning,5.25,2.5860201081971503,8;6;6;1,reinforcement learning
3137,Investigating the Benefits of Projection Head for Representation Learning,5.25,0.4330127018922193,5;6;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3138,"Explore, Establish, Exploit: Red Teaming Language Models from Scratch",5.25,1.7853571071357126,5;8;3;5,generative models
3139,DfPO: Degeneration-free Policy Optimization via Action Masking in Natural Language Action Spaces,5.25,1.7853571071357126,5;5;8;3,reinforcement learning
3140,Foundation Reinforcement Learning: towards Embodied Generalist Agents with Foundation Prior Assistance,5.25,1.7853571071357126,8;5;5;3,reinforcement learning
3141,Perturb-and-Compare Approach for Detecting Out-of-Distribution Samples in Constrained Access Environments,5.25,1.7853571071357126,3;5;8;5,"societal considerations including fairness, safety, privacy"
3142,Visual Grounding with attention-driven constraint balancing,5.25,0.4330127018922193,6;5;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3143,TESTAM: A Time-Enhanced Spatio-Temporal Attention Model with Mixture of Experts,5.25,0.4330127018922193,5;5;5;6,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3144,Fair and Efficient Contribution Valuation for Vertical Federated Learning,5.25,0.4330127018922193,5;6;5;5,"societal considerations including fairness, safety, privacy"
3145,SpeechTokenizer: Unified Speech Tokenizer for Speech Language Models,5.25,1.7853571071357126,5;5;3;8,"representation learning for computer vision, audio, language, and other modalities"
3146,ADOPT: Modified Adam Can Converge with the Optimal Rate with Any Hyperparameters,5.25,0.4330127018922193,5;5;6;5,optimization
3147,Tailoring Mixup to Data using Kernel Warping functions,5.25,1.7853571071357126,5;5;8;3,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3148,Interpreting the Inner Mechanisms of Large Language Models in Mathematical Addition,5.25,1.299038105676658,3;6;6;6,visualization or interpretation of learned representations
3149,Online Feature Updates Improve Online (Generalized) Label Shift Adaptation,5.25,1.7853571071357126,3;5;5;8,"general machine learning (i.e., none of the above)"
3150,ReBotNet: Fast Real-time Video Enhancement,5.25,0.4330127018922193,6;5;5;5,"representation learning for computer vision, audio, language, and other modalities"
3151,EquiPocket: an E(3)-Equivariant Geometric Graph Neural Network for Ligand Binding Site Prediction,5.25,0.4330127018922193,5;6;5;5,"applications to physical sciences (physics, chemistry, biology, etc.)"
3152,Multimodal Chain-of-Thought Reasoning in Language Models,5.25,0.4330127018922193,5;5;5;6,"representation learning for computer vision, audio, language, and other modalities"
3153,HiFi-123: Towards High-fidelity One Image to 3D Content Generation,5.25,1.7853571071357126,3;5;8;5,generative models
3154,An Instance-Level Framework for Multi-tasking Graph Self-Supervised Learning,5.25,0.4330127018922193,6;5;5;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3155,Self-Specialization: Uncovering Latent Expertise within Large Language Models,5.25,1.7853571071357126,5;3;8;5,"unsupervised, self-supervised, semi-supervised, and supervised representation learning"
3156,Estimating Unknown Population Sizes Using Hypergeometric Maximum Likelihood,5.25,0.4330127018922193,5;5;6;5,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)"
3157,Towards a Better Theoretical Understanding of Independent Subnetwork Training,5.25,0.4330127018922193,5;6;5;5,optimization
3158,Bad Habits: Policy Confounding and Out-of-Trajectory Generalization in Reinforcement Learning,5.25,0.4330127018922193,5;5;5;6,reinforcement learning
3159,Purify Perturbative Availability Poisons via Rate-Constrained Variational Autoencoders,5.25,1.7853571071357126,3;8;5;5,"societal considerations including fairness, safety, privacy"
3160,LaDe: The First Comprehensive Last-mile Express Dataset from Industry,5.25,1.7853571071357126,8;5;3;5,datasets and benchmarks
3161,Mildly Constrained Evaluation Policy for Offline Reinforcement Learning,5.25,0.4330127018922193,5;5;6;5,reinforcement learning
3162,Periodic and Random Sparsity for Multivariate Long-Term Time-Series Forecasting,5.25,1.299038105676658,6;3;6;6,"general machine learning (i.e., none of the above)"
3163,Prompting Language-Informed Distribution for Compositional Zero-Shot Learning,5.25,0.4330127018922193,5;6;5;5,"representation learning for computer vision, audio, language, and other modalities"
